AUD	CAD	EUR	JPY	NZD	NOK	SEK	CHF	GBP
-0.06978746	-0.05460874	-0.07784572	0.14168012	-0.08227520	0.05352792	0.11197570	0.06774226	-0.02237693
0.02541277	-0.02022913	0.05692478	-0.08858087	0.05946372	-0.09134525	0.02446615	-0.04407839	0.02557106
-0.00634938	-0.03814843	-0.01645725	-0.19025423	-0.01370264	-0.01995957	-0.10775843	0.01103108	0.09044602
0.18938529	-0.02986738	0.03737819	-0.09161332	0.10475255	0.00000000	-0.08726686	-0.05049048	0.05579352
0.00000000	0.00000000	0.00000000	0.04659982	0.00000000	0.00000000	0.00000000	-0.00474173	0.00000000
0.00000000	0.01673266	0.00000000	-0.12701426	0.00000000	0.00000000	0.00000000	-0.00790603	0.00000000
-0.06077778	0.10477475	0.07746585	0.11683223	0.02721345	-0.10482915	0.02525974	-0.02849434	0.14992107
-0.08210426	0.09819193	0.06377398	-0.08022971	0.08586943	0.01190928	-0.06774426	-0.08738429	0.22349624
-0.02957721	0.02592527	0.02957524	0.05838906	-0.02255222	0.07275001	-0.01897772	-0.00318669	-0.04705212
0.05909942	0.02823390	-0.06958943	0.04365129	-0.09053066	0.13110740	0.05704207	0.03501848	-0.01054393
0.05048211	-0.01646367	0.22103543	0.11437745	0.07698393	-0.22582210	-0.19983419	-0.05893909	0.03161081
0.00000000	0.11722478	0.06280001	-0.01732080	0.00000000	0.05838137	-0.05956334	0.01116743	0.00061919
-0.09056129	0.00116789	0.00291489	0.20518699	-0.20002508	0.05261925	-0.12904047	-0.00797594	0.00433366
-0.06561035	0.03616195	-0.01749739	-0.00712980	-0.08945993	-0.00258982	0.01485241	-0.03034516	0.09565774
-0.02122261	0.04421547	0.07132660	-0.00713301	-0.05530390	-0.09239963	0.12658560	-0.04482518	0.05098718
0.02334331	0.00000000	0.00000000	0.02851282	-0.04623422	0.00000000	0.00000000	0.07197885	0.00000000
0.11199366	0.06725023	-0.02180066	0.07814721	0.16123405	0.11292163	0.00592584	-0.00478845	-0.02148065
-0.08233356	-0.00694372	0.00581644	0.00000000	0.05490540	0.01089730	-0.04440777	-0.05917661	0.00245640
-0.19593148	0.00000000	0.01162648	0.00000000	-0.14914369	0.14391618	0.04440777	0.02561696	-0.04920044
-0.06872092	-0.00231525	0.04931777	0.00000000	-0.04386183	-0.01244686	-0.00664427	-0.04004469	0.06024955
0.08371405	-0.00810603	-0.03334525	0.10594817	0.08760279	-0.06017526	-0.06172693	0.04964040	0.03065169
-0.13545068	0.02661858	-0.07273223	0.10524574	0.02985874	0.01763589	0.07590997	0.15433118	-0.04231487
0.03020019	-0.06488859	-0.00875030	0.04887690	-0.04135784	0.05882814	0.05714224	0.06636113	0.02638338
-0.03020019	0.04058644	-0.03212577	0.04177504	-0.17349362	-0.15477584	-0.01950196	0.01260882	-0.06450189
0.07109447	0.00810485	0.02337065	-0.03759259	0.03020840	0.03358319	0.04683593	0.00000000	-0.04870336
0.03006536	-0.08472614	0.13950591	-0.06705188	0.08335525	-0.19734655	-0.12274558	-0.14878998	0.08989196
0.05140852	-0.05245464	0.12537691	0.01259382	0.06683043	-0.02484172	-0.06254320	-0.13094427	-0.04426667
0.01496284	0.02100266	0.08303784	-0.11793268	-0.04144782	0.00000000	-0.01933547	-0.10134239	0.09820327
0.05758208	-0.00349851	0.01712615	-0.22994593	0.10112650	-0.06706097	-0.05742221	-0.10361776	0.07630082
-0.06613055	-0.07833505	0.07116072	0.04996252	-0.09190651	-0.10339282	0.03643376	0.01947992	-0.03596829
0.03843191	0.00000000	0.09062272	0.01424617	0.09419737	-0.12443368	-0.09024016	-0.12050874	-0.00854683
0.11262331	-0.06341826	-0.03958380	-0.05706156	0.17541071	0.04582763	-0.06586980	0.00326905	-0.03790564
-0.09983332	-0.03534215	-0.03117095	0.10256358	0.01811383	0.04531703	0.05858466	0.08150823	-0.00612230
0.12733631	-0.00825784	0.02975541	-0.02273471	0.07675403	0.00000000	0.00000000	-0.05864371	-0.00244958
-0.15933062	0.00353960	-0.02550122	-0.01137958	-0.06996667	0.02535139	-0.06772949	-0.04248893	-0.13037168
0.00640402	0.01532915	-0.03264463	-0.10135281	0.05194025	0.09668174	0.12646173	0.10926049	0.01419599
0.02559029	0.03649449	0.06805194	0.01431426	0.13470177	-0.06986094	-0.05527139	-0.09453991	-0.03334982
-0.10046514	0.00000000	-0.00282968	0.00715229	-0.06047439	0.08788821	-0.05053053	-0.03273096	0.01853633
-0.02790085	0.00470286	-0.00283019	0.08984384	-0.00673362	0.00675495	-0.00054814	0.03926906	0.00000000
0.15816929	-0.02470558	0.04522252	-0.15289486	0.00000000	0.00000000	-0.08996883	-0.09835538	0.06532221
0.06155797	-0.02592334	0.01269566	-0.09938254	0.15415518	-0.01783178	0.00000000	-0.00986914	0.00000000
0.09926220	0.03651615	-0.05791818	-0.05354947	0.09089541	0.03526878	0.09069968	0.04108099	-0.00799677
0.02103977	0.01293718	0.01697355	0.05065952	0.04194643	0.01816659	0.00420176	-0.01149197	0.05221377
-0.03157013	-0.05889051	-0.07510381	0.06489701	0.03743730	0.07264550	0.07962278	0.08517090	-0.23352554
0.00000000	-0.04490336	0.06379013	-0.01439865	-0.02201125	-0.10280969	-0.03456954	-0.06875635	-0.07861154
0.04418062	-0.21084525	-0.00565987	-0.03027974	0.02201125	-0.06878601	0.00874047	0.01311943	0.05120411
-0.01050805	-0.03481385	-0.01982544	0.00865725	0.00439859	-0.04753471	-0.06859614	0.02620637	-0.00498826
0.13606505	0.08868463	-0.05251530	-0.05056730	0.03075604	0.14966661	0.06550111	0.06206730	0.06161965
-0.04801288	-0.06106739	0.00142162	0.19845191	-0.04835772	-0.01872502	0.04618068	0.00488973	0.00000000
0.04384361	-0.01440300	0.04542472	-0.00571745	0.17949855	-0.06157356	-0.06476356	-0.05387005	0.03103036
-0.00417037	0.05633727	-0.06106953	0.09265442	-0.13114084	0.12999988	0.06421890	0.04571966	-0.16452998
-0.10251777	0.05136806	-0.01281178	-0.04554690	-0.00658557	0.05084794	0.06034323	0.01303861	0.01440206
-0.01049832	-0.08250864	0.03129945	-0.03138947	0.03509149	-0.08184628	-0.04782082	-0.01466919	-0.01377561
-0.00210050	0.03233708	0.00568419	0.02996403	0.02626781	-0.04623637	0.00000000	-0.03428092	0.08434436
0.04405218	-0.03593416	0.01987863	-0.00712916	0.04586433	0.00937047	-0.07109127	0.03265017	0.00249227
0.04393027	-0.06007162	0.12860789	0.09101239	0.02179367	-0.05969067	0.01784819	-0.12936129	0.01245548
0.02504854	-0.15482727	0.13594991	0.02125576	-0.01089310	0.00018806	-0.19836410	-0.08242234	0.09372476
0.10601754	-0.05479222	0.05294294	0.02688317	0.09993565	-0.10585246	-0.18632157	-0.02812137	0.17295546
0.06203411	-0.04641672	-0.00139098	-0.04955699	-0.00866512	0.00340732	-0.08114233	0.00000000	0.01529660
0.00000000	0.00000000	-0.05992754	0.08344974	0.00000000	0.00000000	0.00000000	0.00000000	-0.02876982
-0.15137455	0.00611522	-0.05595039	0.07599513	-0.08691239	-0.00851967	0.07536018	0.14339320	-0.05708163
-0.04590423	-0.04408228	0.07827545	-0.00280816	-0.04582020	-0.02274149	-0.04839138	-0.03613818	0.05953216
-0.02509474	-0.07251172	0.03760248	0.10217723	0.04146207	0.01478568	-0.07878742	-0.04281509	-0.07860507
0.04806344	0.00123178	-0.03481406	0.04458352	-0.03709254	-0.03983901	-0.01429865	0.06253702	-0.02094506
0.00834403	0.03936644	0.02507382	0.01112634	-0.05689794	-0.03251435	-0.00056468	0.04592277	0.03571319
0.08527434	-0.15557315	0.06112534	-0.09901987	-0.03731307	-0.13341447	-0.06242723	-0.10021715	-0.05668593
0.10749805	-0.06340611	-0.04443143	-0.04062307	0.09639532	0.01592333	-0.02704620	0.04772312	0.07942658
0.08014850	-0.08869510	-0.00278110	0.04481953	0.12184441	-0.11102782	-0.05423103	0.05576915	0.05640352
0.13878547	-0.00375861	0.06522734	0.00000000	0.01516500	-0.11356008	-0.04984330	-0.11008604	0.11767756
0.18585790	-0.05145712	0.12828234	-0.18287185	-0.04119591	-0.21203524	-0.12452909	-0.14409637	-0.05050058
0.06213907	-0.04153820	-0.03025288	-0.02123680	0.07148252	0.02225652	0.05655130	0.00665389	0.03226589
-0.02202152	-0.01260882	-0.06620710	-0.02977933	0.01296231	0.06305457	0.03135178	0.05644571	-0.13497826
-0.02606488	-0.04547487	0.21553474	0.01560567	0.10975437	-0.16177204	-0.15140350	-0.13146321	0.07770689
0.03607844	-0.04687420	0.00817922	-0.15102410	0.07915343	0.02750512	0.02196524	-0.06530317	0.03536206
0.02200764	0.00000000	0.06256776	0.05858550	-0.03204167	-0.14598402	-0.07314254	0.03519662	-0.00121807
-0.10028149	-0.00888368	-0.06802011	0.08534702	0.01923276	0.04383685	0.02184295	0.16985369	0.02677599
0.31080602	0.01903038	0.06802011	-0.14250103	0.22267726	-0.05361701	-0.08735849	0.00993502	0.11329678
-0.15065830	-0.09282993	0.04744125	0.02002732	-0.10776746	-0.01038555	0.01029104	0.17777528	-0.07443033
0.03382424	0.04839016	-0.00270711	-0.07020643	0.06981537	-0.02199184	-0.08778480	0.01963047	0.04603065
0.04762951	0.03683035	0.11464710	-0.03593958	-0.00422251	-0.06475268	-0.10241085	-0.08031104	0.10668838
-0.09739602	0.05824585	0.02283039	0.06463278	-0.21043038	0.00461962	0.05314813	0.04758008	0.02101193
-0.07794864	0.02273380	0.04154756	-0.00430067	-0.03427233	0.00301207	-0.00430798	0.01473728	-0.05107729
0.10782726	0.07554507	0.01070432	-0.08914248	0.06847082	-0.03598136	-0.03195467	-0.02456974	-0.05607349
0.00000000	0.00000000	-0.09525404	0.09344315	-0.05132541	0.12607870	0.09840229	0.06380241	-0.10605468
-0.10782726	0.04264983	0.02285940	0.00000000	-0.09883997	-0.12044495	-0.01151069	-0.00163276	-0.02494988
-0.07833328	0.04128613	-0.11192097	-0.12230590	-0.11682029	0.14119490	0.08661268	-0.13610787	-0.03719327
-0.02216407	0.00749505	0.00135315	0.01443793	0.04120153	-0.00857602	0.00116459	0.02961663	-0.00122093
-0.02825364	-0.03250412	0.04458945	0.00000000	-0.15670055	0.06053128	-0.05502300	-0.06588993	-0.04462826
0.06651762	0.02500908	0.04311897	-0.09117899	0.12635190	-0.12730323	-0.06244744	0.11676717	0.00428487
-0.08066332	0.06235086	-0.07147958	0.11713423	-0.01954053	0.08152781	-0.02739819	0.04908128	-0.11363333
-0.02023004	-0.06984944	-0.04602487	0.06900721	-0.16158511	-0.02573194	-0.07204767	0.03915605	-0.00616558
0.19315229	-0.06513656	-0.01763307	-0.09496244	0.18329532	0.03927929	0.02143251	-0.12268474	-0.00863583
-0.08421509	-0.07675242	0.05825017	-0.08682524	-0.05433131	-0.06845267	0.06118863	-0.07736852	0.03389949
0.05018183	-0.01388018	0.02837026	-0.02032774	0.05216163	-0.07618303	0.01193565	0.09050016	0.00492481
0.03803238	-0.02906147	0.01349185	-0.00145298	0.01951651	0.00703216	-0.07057004	-0.02791773	-0.09197629
-0.09223562	0.01516914	0.03771629	0.06525269	-0.18090182	-0.01949679	0.05843865	0.04923350	-0.01610431
0.00402141	-0.04428391	0.00941509	-0.07542726	-0.05489496	-0.10249985	-0.08872301	-0.07061552	0.01672338
0.01808374	-0.04694914	0.00268900	0.06094983	-0.02641716	-0.05535821	0.03676636	-0.02141087	0.01856089
0.07612727	-0.01271283	0.15651898	-0.07258590	0.09664875	-0.09780369	-0.23164768	-0.16067620	0.07833492
-0.03401181	0.04191375	0.16289839	-0.04371138	0.00000000	-0.11240089	-0.05589410	-0.14886903	0.06018429
0.10977575	0.11375094	-0.17488368	0.15246615	0.01313390	0.16280429	0.02617496	0.19873664	-0.02944951
-0.16595455	-0.08713606	-0.12169557	0.09365519	-0.18044409	0.11226958	0.04206913	0.14866973	-0.06029625
0.07219344	-0.18596683	0.12702348	-0.05756854	0.01327300	-0.16717013	0.00258829	-0.09399570	0.07011883
0.05393043	-0.02436216	-0.04000298	-0.11286271	-0.01327300	0.07994065	-0.03308228	-0.02151578	0.03310639
0.06368120	-0.13789998	0.05464552	-0.11805913	0.14100974	-0.05869264	0.00698092	-0.05308650	0.10620889
-0.00397260	-0.15086488	0.05313203	0.08317009	-0.05053131	-0.02349706	0.00398772	-0.06160339	0.05223281
0.25617314	-0.02092192	0.11758459	-0.10512958	0.10090228	-0.09104685	-0.07814211	-0.10040835	0.12622609
-0.12954047	-0.00523479	-0.08314389	0.01317933	-0.05695290	0.18787587	0.04761056	0.06199351	0.02464473
-0.06319006	0.04052456	-0.08491190	0.13845194	0.01754574	0.06510319	0.07472809	0.16965792	0.07430328
0.00791253	0.03651412	0.06107630	0.10845755	0.08525887	0.00485682	-0.03104416	0.00000000	-0.01495254
-0.05348626	0.01432189	-0.12505963	0.04605064	-0.05460041	0.11953433	0.10819216	0.12524332	-0.02575135
0.00198419	-0.02083611	0.10384234	-0.04172771	-0.07236130	-0.20576108	-0.06601873	-0.10705472	0.40183282
0.05347958	0.07280704	-0.01991700	0.00000000	0.18354763	0.03028343	-0.03341124	-0.02811844	-0.04564670
-0.10315887	0.05050837	0.03185521	0.18905267	-0.08495469	-0.03007999	-0.03847014	0.06608193	-0.05165691
0.10513614	-0.00517296	0.04634123	0.01565323	0.13484387	-0.04298311	-0.00818443	-0.03465871	0.03934496
-0.12903754	0.08513896	-0.13543071	0.13031703	0.01298882	0.06473584	0.12153307	0.20356421	-0.06229223
-0.06191236	-0.02832895	0.07449711	-0.06785800	-0.09985365	-0.04577633	-0.11574364	-0.06046816	0.09041983
0.06589842	0.03090180	-0.12524857	0.06503637	-0.01089160	0.04537001	0.09809858	0.07840086	-0.09159750
-0.05589621	0.03725960	-0.10737850	-0.13603161	-0.09397754	0.12747914	0.13235418	-0.04241906	-0.05544964
-0.16079659	0.05380760	-0.06207313	0.12332805	-0.10115388	0.14943986	0.14608065	0.03916008	-0.00709264
-0.09116902	0.00000000	0.04994747	0.06622901	0.07921867	-0.01258289	0.01831195	-0.01956796	-0.00709581
0.05273928	0.08673222	0.03769390	-0.03237542	-0.02416379	0.05525042	-0.08765992	-0.05721139	-0.04264159
0.00000000	0.03176809	-0.08358571	0.01408438	-0.03080721	0.02367682	0.13334759	0.02127402	-0.08741720
-0.07713970	-0.00634853	0.01216075	0.02391481	-0.06179435	0.00735451	-0.02778576	0.05713490	-0.06153960
0.11758948	-0.02669160	0.04585672	-0.04645583	0.02651275	-0.10547487	-0.09479792	-0.03099057	0.02751319
-0.05463159	0.08753297	-0.06072113	0.02113314	-0.06636510	0.05511779	-0.04054944	0.07330092	-0.11997116
-0.15684186	0.00000000	-0.04738865	0.03515950	-0.12239465	0.08469924	0.12133889	0.04381864	-0.14274210
0.06129161	-0.05957146	0.12157188	-0.04924513	-0.07838173	-0.11742731	-0.10193276	-0.04706928	0.15116966
-0.00611852	-0.00381003	0.04434411	-0.04515820	0.05155157	-0.03679980	-0.08761352	-0.05373191	0.00722006
0.07123645	-0.03305866	0.03485074	0.00706444	0.00223758	-0.06681732	0.03659717	0.02444614	-0.03372175
0.03043232	0.01908070	-0.06171117	-0.01837409	0.08702050	0.02591757	0.07704992	0.01952985	0.14760393
0.08086878	0.05330428	-0.00941190	-0.03539468	0.09760768	-0.03436499	0.02560043	-0.01138949	0.01373047
-0.05251782	0.02405517	-0.05928861	0.02690715	0.01768255	0.08087021	0.01249208	0.03089534	-0.11678870
0.00404601	-0.07863078	-0.01350562	0.00282968	-0.04202826	0.06711178	0.03663874	0.05837415	-0.02948248
0.00808892	-0.01017434	0.11443319	0.11137083	-0.00886225	-0.01036781	-0.01830880	-0.08276021	-0.01506320
-0.01415832	0.15571435	-0.02147744	0.02386406	-0.35407626	0.01375581	0.02103384	0.11025134	0.01325637
-0.03849350	0.05407839	-0.10512065	0.11600035	0.00000000	0.06086081	0.05576042	0.08218889	-0.00602425
-0.01420538	0.02759694	0.02837026	-0.08797085	-0.04766101	-0.02821358	0.03719409	-0.01125567	0.00722883
-0.20227782	0.13105577	0.03236119	0.07543339	-0.20129329	0.05181880	0.08625636	0.08982265	0.07810204
-0.02881410	0.07440608	-0.04316293	-0.05024908	-0.04610665	0.12419067	-0.08993314	-0.02721391	-0.02999379
-0.13239176	0.00000000	-0.20116950	0.08366031	-0.10888067	0.28167594	0.29148412	0.17051535	-0.14052332
0.07253851	0.00742146	0.00957243	-0.05712015	0.06958445	-0.09437432	-0.03119325	-0.05557473	0.10565938
-0.00827336	0.06910018	0.03550429	-0.08255966	-0.00694474	0.03106786	0.03347328	0.00318095	0.03486394
-0.02899076	-0.00985306	-0.03550429	0.10487491	0.07161618	-0.06959871	0.03207567	0.03494840	0.09339381
0.11564672	-0.07780729	0.04504959	0.01671588	0.05752056	-0.00682075	0.05035504	-0.02064202	-0.19217313
-0.05152393	-0.07197085	0.01635002	0.00000000	0.02294999	-0.01560129	0.00831403	0.00000000	-0.05507679
-0.07241561	-0.02240229	-0.09150385	0.04865434	-0.05283467	0.01384691	0.06221682	0.04125724	0.02483847
0.05175912	0.04849840	-0.03839724	-0.08349896	0.12148625	0.06575399	-0.02674220	-0.05079339	0.02600842
-0.05590715	-0.06968518	0.03839724	0.00139525	-0.10768633	-0.00699044	-0.06686399	0.00000000	-0.01874597
0.06210692	-0.04621039	0.05469259	0.03066461	0.09397974	-0.08744591	-0.00435403	-0.03342170	0.00362998
-0.00206632	-0.01126074	0.03272533	-0.08937115	0.02055544	-0.02834298	-0.01704900	-0.03189575	0.04711436
-0.04967256	0.00000000	0.00272407	0.04195538	-0.06862190	0.05624555	0.00852679	0.00957545	-0.08223899
-0.05398791	0.06245880	0.12075023	-0.00139673	-0.08043561	0.04730266	0.03821947	-0.00478701	0.02302146
-0.10224825	0.04979070	0.12788522	-0.02656120	-0.02074949	0.13258916	-0.02666825	-0.13140693	0.07007024
0.02301108	-0.03483709	-0.09278253	-0.06027680	-0.04852120	-0.06373684	0.05706454	0.09945662	0.02529419
-0.04186318	0.04726040	0.03233373	-0.01264509	0.00000000	0.06759147	-0.00735774	-0.00799764	0.00962529
-0.03777148	0.01241360	-0.01885334	-0.13267648	-0.12545410	0.04099381	0.04146062	-0.02882490	0.05643101
-0.03996764	-0.01862404	-0.08511821	0.08481503	0.02330717	0.01844153	0.16439549	0.06079130	-0.01618838
0.06515861	-0.06099124	0.04194060	-0.03811069	0.06971688	-0.06945932	-0.16439549	-0.08485209	0.02158085
0.07324616	0.00748092	0.27193822	-0.13197495	0.05324302	-0.13944804	-0.28198374	-0.13056226	0.11936225
0.01669463	0.08949711	-0.08523246	-0.03138101	0.11283878	0.07162013	0.04973401	0.02102691	-0.06255326
-0.05222913	0.05691568	-0.08166537	0.03850442	-0.06898971	0.07515374	0.06232967	0.03068163	0.12663763
-0.00209274	0.04316912	0.02950154	0.07814721	-0.09709209	0.13071674	0.02888970	0.04028043	0.04848446
-0.04401147	-0.19706282	0.04815730	0.06083007	-0.02088293	0.00898198	0.01063034	-0.07257852	0.06833584
0.07119564	-0.04245859	-0.02673602	0.04511809	0.06025368	0.01317712	0.03677157	0.03068475	0.00293891
0.11034852	-0.01876789	-0.02410098	-0.03523755	0.05541652	-0.04683792	0.08816939	0.00483954	-0.10969537
-0.15218963	0.09610731	-0.04024979	-0.00705691	-0.00691649	-0.06561388	-0.04902744	0.08044260	-0.05869682
-0.06927985	0.10665725	-0.04169894	-0.00706004	-0.02307677	0.02996278	0.05467472	0.05766730	-0.03746584
-0.06958353	0.02099885	-0.05937429	0.12660286	-0.10658737	0.08573388	0.12466832	0.06701481	0.14697626
0.02744812	-0.00740819	0.07283753	0.04616923	0.06033295	0.11448058	-0.05799426	-0.10223103	-0.09585441
0.01686759	0.02098089	-0.04042403	-0.02096937	0.13606475	-0.05295398	-0.03339593	0.00320471	-0.02970197
0.07778030	-0.02345105	-0.04052723	-0.01959643	0.08702147	0.04177055	-0.02255383	0.01761432	0.00475605
0.20004895	-0.05815978	0.14675660	-0.08003617	0.14096619	-0.22283928	-0.07956974	-0.07379029	0.09659553
0.01862598	0.03591099	-0.05235350	-0.05782042	-0.05669068	0.05969202	0.06489256	0.02731030	-0.04674284
-0.03520078	0.03829799	-0.01479764	0.04232828	0.03403870	0.13524913	0.08036982	-0.01927298	-0.03381153
0.02278588	0.02589140	0.03763963	-0.00563725	0.01133003	0.01082346	-0.11146251	-0.05957275	0.00890476
-0.02278588	-0.05429719	0.02951152	0.04644759	-0.06582704	-0.06028747	-0.06710357	0.05635831	0.02253638
0.01657479	-0.13406764	0.01875153	0.06311940	0.04996273	0.15000841	0.02233634	0.00964137	-0.03144114
0.09908698	0.00000000	-0.00803366	-0.00980210	0.03171278	-0.11574769	-0.01495051	0.01766064	0.02254902
0.00000000	0.00000000	0.00000000	-0.00420276	0.00000000	0.00000000	0.00000000	0.00000000	-0.02076767
0.06366652	-0.11636145	0.05615041	-0.01401723	0.04293769	-0.11372511	-0.08562108	-0.00802513	0.05453126
0.09400483	-0.06669707	0.05196243	0.00280444	0.09226120	-0.04141779	-0.19170332	-0.14515043	0.02365094
